1	Asosiy vositalar ob’yektlarining ichki harakati aks ettirilgan 	0100-0190	0110-0190	Asosiy vositalarning ichki harakati bo‘yicha yukxatlar
2	Uskuna ijaraga beruvchi tomonidan operativ ijaraga berilgan (ijaraga beruvchidagi yozuv) 	0131	0130	Joriy ijaraga berish bo‘yicha yukxatlar 
3	Operativ ijaraga berilgan asosiy vositalar ijaraga beruvchiga qaytarilgan (ijaraga beruvchidagi yozuv) 	0130	0131	Joriy ijaradan qaytarish bo‘yicha yukxatlar 
4	Qurilishi tugallangan va foydalanishga topshirilgan ob’yektlar asosiy vositalar tarkibiga kiritilgan (inventar qiymati bo‘yicha) 	0110-0190	0810	Asosiy vositalarni foydalanishga qabul qilish-topshirish dalolatnomasi, inventar kartochkalar 
5	Inventar va jihozlarning asosiy vositalar turkumiga o‘tkazilishi aks ettirilgan 	0110-0190	1080	Ichki harakat bo‘yicha yukxatlar 
6	Asosiy vositalar o‘z bo‘linmalaridan kelib tushgan 	0110-0190	6110	Asosiy vositalarni qabul qilish-topshirish bo‘yicha shartnoma, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
7	Asosiy vositalar haqiqiy tannarxi bo‘yicha xarid qilingan (boshlang‘ich qiymati) 	0110-0190	0820	Yetkazib berish shartnomasi, tovar-transport yukxati, hisobvaraq-faktura, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
8	Moliyaviy ijara shartnomasi tugagandan so‘ng, moliyaviy ijara shartnomasi bo‘yicha olingan ob’yektlar asosiy vositalar tarkibiga kiritilgan 	0110-0190	0310	Lizing shartnomasi, asosiy vositalarni qabul qilishtopshirish dalolatnomasi 
9	Xo‘jalik yoki pudrat usuli bilan amalga oshirilgan qurilish natijasida foydalanishga topshirilgan va asosiy vositalar tarkibiga kiritiladigan vaqtinchalik (titul) bino va inshootlarning haqiqiy tannarxi aks ettirilgan 	0110-0190	0810	Loyiha-smeta hujjatlari, qurilishi tugallangan ob’yektlarni qabul qilish dalolatnomasi, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
10	Ustav kapitaliga ta’sischilar tomonidan ulush (paylar) sifatida berilgan asosiy vositalar balansga hisobga kiritilgan 	0110-0190	4610	Ta’sis shartnomasi, asosiy vositalarni qabul qilishtopshirish dalolatnomasi 
11	Davlat hokimiyati organi tomonidan biriktirilgan mulk tarkibidagi asosiy vositalar unitar korxona tomonidan olingan 	0110-0190	8330	Ustav, ta’sis shartnomasi, qabul qilishtopshirish dalolatnomasi 
12	Aksiyalar haqini to‘lash hisobiga kelib tushgan asosiy vositalar balansga hisobga kiritilgan 	0110-0190	4610	Qimmatli qog‘ozlarga obuna, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
13	Asosiy vositalar tekinga kelib tushgan 	0110-0190	8530	Hadya shartnomasi, asosiy vositalar tekinga berilishi to‘g‘risida buyruq yoki qaror, asosiy vositalarni qabul qilishtopshirish dalolatnomasi 
14	Asosiy vositalar tarkibiga ishchi va mahsuldor hayvonlar kiritilgan 	0170	0840	Ishchi va mahsuldor hayvonlarni asosiy vositalar tarkibiga kiritish to‘g‘risida dalolatnoma 
15	Qurib bitkazish, qo‘shimcha jihozlash, zamonaviylashtirish, rekonstruksiyalash hamda boshqa ajratiladigan va ajralmas sifat jihatdan yaxshilanishi munosabati bilan asosiy vositalarning boshlang‘ich qiymati qo‘shimcha baholangan 	0110-0190	0890	Loyiha-smeta hujjatlari, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
16	Yerni obodonlashtirish bilan bog‘liq xarajatlar asosiy vositalar tarkibiga kiritilgan 	0111	0810	Loyiha-smeta hujjatlari, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
17	Ijaraga beruvchi tomonidan operativ ijara bo‘yicha ijaraga olingan asosiy vositalar yuzasidan ijaraga oluvchi tomonidan amalga oshirilgan kapital qo‘yilmalar summasiga asosiy vositalar qo‘shimcha baholangan 	0111-0190	8530	Operativ ijara shartnomasi, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
18	Xususiylashtirilgan korxonaning asosiy vositalar ob’yektlari hisobga qabul qilingan 	0110-0190	8310-8330	Oldi-sotdi shartnomasi, hisobvaraq-faktura, TTYu, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
19	Qayta baholash natijasida asosiy vositalarning qo‘shimcha baholanishi summalari aks ettirilgan 	0110-0190	8510	Qayta baholashni o‘tkazish to‘g‘risida buyruq, qo‘shimcha baholash hisob-kitobi 
20	Inventarlash jarayonida aniqlangan, hisobga olinmagan asosiy vositalar ob’yektlari bozor narxlarida kirim qilingan 	0110-0190	9390	Asosiy vositalarni inventarlash natijalari bo‘yicha solishtirma qaydnoma, inventarlash natijalarini hisobga olish qaydnomasi, rahbar buyrug‘i 
21	Maqsadli foydalanish uchun olingan asosiy vositalar kirim qilingan 	0110-0190	8810-8890	Asosiy vositalarni maqsadli foydalanish uchun berish shartnomasi, asosiy vositalarni qabul qilish-topshirish dalolatnomasi 
22	Kapital qo‘yilmalarni asosiy vositalar tarkibiga o‘tkazish paytida moliyaviy ijara shartnomasiga muvofiq olingan asosiy vositalar yaxshilanishi uchun qilingan sarf-xarajatlar summasi aks ettirilgan 	0112	0860	Moliyaviy ijara shartnomasi, asosiy vositalar moliyaviy ijaraga olinganligi to‘g‘risida dalolatnoma 
23	Moliyaviy ijara shartnomasi bo‘yicha olingan asosiy vositalar obodonlashtirilganligini qayta baholash natijasida ularning balans qiymati oshirilgan (qo‘shimcha baholangan) 	0112	8510	Moliyaviy ijara shartnomasi, qayta baholashni o‘tkazish to‘g‘risidagi rahbar buyrug‘i 
24	To‘liq eskirganligi va keyinchalik foydalanish uchun yaroqsizligi sababli tugatilishi munosabati bilan asosiy vositalarning chiqib ketishi aks ettirilgan: 			Asosiy vositalarning chiqib ketishi to‘g‘risida dalolatnoma (AV-4 shakli), tugatilishi munosabati bilan asosiy vositalarning chiqib ketishi to‘g‘risida komissiya qarori 
	a) asosiy vositalarning boshlang‘ich qiymatiga 	9210	0110-0190	
	b) asosiy vositalarning jamlangan eskirish summasiga 	0210-0290	9210	
	v) tugatish bilan bog‘liq xarajatlar summasiga 	9210	6710, 6520, 6990 va b. 	
	g) olingan uzellar, detallar, materiallar, rangli va qimmatbaho metallar qiymatiga 	1010-1090	9210	
	d) asosiy vositalarning ob’yekti qayta baholanganligi natijalari (saldo) summasiga 	8510	9210	
	ye) asosiy vositalar tugatilganligi natijasida olingan foyda summasiga 	9210	9310	
	j) asosiy vositalar tugatilganligi natijasida olingan zarar summasiga 	9430	9210	
25	Sotilishi munosabati bilan asosiy vositalarning chiqib ketishi aks ettirilgan: 			Asosiy vositalarning chiqib ketishi to‘g‘risida dalolatnoma (AV-4 shakli), tugatilishi munosabati bilan asosiy vositalarning chiqib ketishi to‘g‘risida komissiya qarori 
	a) asosiy vositalarning sotilgan qiymati summasiga 	4010	9210	
	b) QQS hisoblanganda 	9210	6410	
	v) asosiy vositalarning boshlang‘ich qiymatiga 	9210	0110-0190	
	g) asosiy vositalar bo‘yicha jamlangan eskirish hisobdan chiqarilganda 	0210-0290	9210	
	d) sotish bo‘yicha xarajatlar summasiga 	9210	6710, 6520, 6990 va b. 	
	ye) asosiy vositalar ob’yekti qayta baholanganligi natijalari (saldo) summasiga 	8510	9210	
	j) asosiy vositalar sotilishidan olingan foyda summasiga 	9210	9310	
	z) asosiy vositalar sotilishidan olingan zarar summasiga 	9430	9210	
26	Bepul (tekinga) berilishi (hadya qilish shartnomasi bo‘yicha) natijasida asosiy vositalarning chiqib ketishi aks ettirilgan: 			Asosiy vositalarni tekinga berish (hadya qilish) to‘g‘risida shartnoma, tekinga berish to‘g‘risida komissiya qarori, tekinga berish munosabati bilan asosiy vositalarning chiqib ketishi to‘g‘risida dalolatnoma (AV-4 shakli) 
	a) asosiy vositalarning boshlang‘ich qiymatiga 	9210	0110-0190	
	b) asosiy vositalarning jamlangan eskirishi summasiga 	0210-0290	9210	
	v) QQS hisoblanganda 	9210	6410	
	g) asosiy vositalar ob’yekti qayta baholanganligi natijalari (saldo) summasiga 	8510	9210	
	d) asosiy vositalar tekinga berilganligidan olingan foyda summasiga 	9210	9310	
	ye) asosiy vositalar tekinga berilganligidan olingan zarar summasiga 	9430	9210	
27	Ustav kapitaliga ulush sifatida berilganligi munosabati bilan asosiy vositalarning chiqib ketishi aks ettirilgan: 			Ta’sis shartnomasi, ustav, ta’sischilarning kelishilganligi to‘g‘risidagi bayonnoma, asosiy vositalarning chiqib ketishi to‘g‘risida dalolatnoma (AV-4 shakli) 
	a) ta’sis shartnomasi bilan nazarda tutilgan qiymatga 	0610-0690	9210	
	b) asosiy vositalarning boshlang‘ich qiymatiga 	9210	0110-0190	
	v) asosiy vositalarning jamlangan eskirishi summasiga 	0210-0290	9210	
	g) ustav kapitaliga ulush sifatida berilgan xarajatlar summasiga 	9210	6710, 6520	
	d) asosiy vositalarning ob’yekti qayta baholanganligi natijalari (saldo) summasiga 	8510	9210	
	ye) asosiy vositalar ustav kapitaliga ulush sifatida berilganligidan olingan foyda summasiga 	9210	9310	
	j) asosiy vositalar ustav kapitaliga ulush sifatida berilganligidan olingan zarar summasiga 	9430	9210	
28	Moliyaviy ijara shartnomasi bo‘yicha berishda asosiy vositalarning chiqib ketishi aks ettirilgan: 			Moliyaviy ijara shartnomasi, asosiy vositalarni moliyaviy ijaraga berish dalolatnomasi 
	a) moliyaviy ijara shartnomasi bilan nazarda tutilgan qiymatga: 			
